21:23.479 | INFO     | __main__:download_cvm_zips:39 - ZIP inf_mensal_fii_2021.zip ja existe, pulando download
2026-05-02 11:21:36.439 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - BTAL11: 0 precos inseridos
2026-05-02 11:21:37.515 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - BTAL11: 0 dividendos inseridos
2026-05-02 11:21:37.517 | INFO     | __main__:main:88 - Processando ticker BTCI11 ...
2026-05-02 11:21:37.520 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - BTCI11: buscando a partir de 2026-05-01
2026-05-02 11:21:37.782 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - BTCI11: 0 precos inseridos
2026-05-02 11:21:38.913 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - BTCI11: 0 dividendos inseridos
2026-05-02 11:21:38.914 | INFO     | __main__:main:88 - Processando ticker BTLG11 ...
2026-05-02 11:21:38.916 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - BTLG11: buscando a partir de 2026-05-01
2026-05-02 11:21:39.238 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - BTLG11: 0 precos inseridos
2026-05-02 11:21:40.197 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - BTLG11: 0 dividendos inseridos
2026-05-02 11:21:40.199 | INFO     | __main__:main:88 - Processando ticker GAME11 ...
2026-05-02 11:21:40.202 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - GAME11: buscando a partir de 2026-05-01
2026-05-02 11:21:40.554 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - GAME11: 0 precos inseridos
2026-05-02 11:21:41.303 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - GAME11: 0 dividendos inseridos
2026-05-02 11:21:41.304 | INFO     | __main__:main:88 - Processando ticker GGRC11 ...
2026-05-02 11:21:41.307 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - GGRC11: buscando a partir de 2026-05-01
2026-05-02 11:21:41.560 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - GGRC11: 0 precos inseridos
2026-05-02 11:21:42.509 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - GGRC11: 0 dividendos inseridos
2026-05-02 11:21:42.510 | INFO     | __main__:main:88 - Processando ticker HGLG11 ...
2026-05-02 11:21:42.513 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - HGLG11: buscando a partir de 2026-05-01
2026-05-02 11:21:42.776 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - HGLG11: 0 precos inseridos
2026-05-02 11:21:43.835 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - HGLG11: 0 dividendos inseridos
2026-05-02 11:21:43.837 | INFO     | __main__:main:88 - Processando ticker HREC11 ...
2026-05-02 11:21:43.840 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - HREC11: buscando a partir de 2026-05-01
2026-05-02 11:21:44.193 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - HREC11: 0 precos inseridos
2026-05-02 11:21:44.656 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - HREC11: 0 dividendos inseridos
2026-05-02 11:21:44.657 | INFO     | __main__:main:88 - Processando ticker HSAF11 ...
2026-05-02 11:21:44.660 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - HSAF11: buscando a partir de 2026-05-01
2026-05-02 11:21:44.922 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - HSAF11: 0 precos inseridos
2026-05-02 11:21:45.872 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - HSAF11: 0 dividendos inseridos
